gene_name	qssm	qupm	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L
OLAH	2	2	0.0125357	0.00327985	0.114115	0.349459	0.510751	0.949053	1.25765	1.27505	1.03707	1
CHEK1	9	4	0.0134078	0.0250081	0.0369117	0.122093	0.344716	0.686823	0.907148	1.00617	0.841347	1
RPAIN	1	1	0.0196845	0.0147172	0.0641511	0.0637559	0.14294	0.375359	0.867258	0.972279	0.846068	1
PRPF39	3	3	0.0119576	0.0221117	0.0399656	0.0200275	0.0376616	0.0343218	0.201201	0.683508	0.806388	1
FOXRED1	11	5	0.0368371	0.0788804	0.122419	0.152554	0.267623	0.804608	1.07781	0.960955	1.08926	1
BCKDHA	2	2	0.0507782	0.0803112	0.0856418	0.209963	0.376871	0.631028	0.80393	0.844593	1.06599	1
ORC5	5	2	0.0025016	0.00325266	0.0131129	0.0118172	0.0156895	0.0336253	0.348457	0.855	0.75203	1
DYNC1LI1	20	12	0.0260494	0.0403429	0.0512858	0.162788	0.245037	0.77463	1.03631	1.02291	0.811864	1
COMMD10	3	2	0.0476543	0.0495261	0.108684	0.255433	0.425623	0.843945	1.01579	1.05704	0.833232	1
NUP50	9	4	0.0911308	0.125812	0.347184	0.728636	1.37865	1.93754	1.32222	1.04676	0.764398	1
DPH1	7	4	0.0292047	0.0743307	0.105857	0.22099	0.45336	0.778107	0.960993	0.938114	0.754732	1
SLC3A2	4	4	0.060442	0.0959118	0.093941	0.142312	0.300711	0.700992	0.828605	0.621165	0.868305	1
G0S2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCBP1	12	8	0.0448158	0.0623438	0.072139	0.116522	0.22121	0.468495	0.917247	0.99853	0.84772	1
EIF2S3	20	8	0.0190658	0.0320609	0.0497219	0.250599	0.407318	0.787234	1.03563	0.98054	0.77069	1
TUBE1	4	3	0.0127711	0.0610618	0.508277	0.874144	0.786539	0.871118	0.835371	0.964211	0.807881	1
TSKS	1	1	0.0607106	0.112969	0.165056	0.230451	0.279235	0.400848	0.533076	0.807437	0.749166	1
SUPT7L	1	1	0.0952207	0.140895	0.109197	0.169325	0.239352	0.302443	0.552499	0.962834	0.780487	1
HNRNPD	1	1	0.0923629	0.334263	0.41687	0.477929	0.656733	0.904114	1.11034	0.969162	0.849754	1
MOCS1	1	1	0.0331356	0.183683	0.28806	0.772568	0.880536	1.04704	0.971434	0.966769	1.00873	1
DKC1	8	5	0.218858	0.272267	0.173329	0.35873	0.326543	0.455996	0.707722	0.805467	0.750064	1
GM2A	3	2	0.697518	1.19485	0.732559	1.31642	1.28074	0.915086	0.77688	0.993282	0.855723	1
GSK3B	3	2	0.019115	0.0657121	0.138749	0.339982	0.433805	0.626183	0.884853	0.985295	0.822819	1
CARD11	3	3	0.138141	0.180963	0.164645	0.210884	0.105884	0.233228	0.399634	0.776487	0.625691	1
MED31	1	1	0.0441654	0.164464	0.159605	0.254431	0.3115	1.05279	0.910774	0.827315	0.774956	1
PPIL1	2	1	0.011421	0.0376541	0.0185059	0.0632716	0.0990667	0.158762	0.390376	0.801714	0.79168	1
NCBP2	5	4	0.0472334	0.0643423	0.114869	0.198202	0.367152	0.646529	1.05295	1.05896	0.850973	1
SOD2	11	7	1.25017	1.43036	1.07664	1.23679	1.41714	1.04525	1.35599	1.03095	1.01177	1
PTK2	22	14	0.025669	0.035856	0.056307	0.259014	0.54292	0.807367	0.926731	0.963538	0.858918	1
CTTN	68	32	0.851418	0.82311	0.594768	0.783675	0.706697	0.938335	1.08612	1.06014	0.871106	1
TTC39B	4	3	0.0390944	0.0611973	0.148889	0.392027	0.537038	0.862603	0.852653	0.927854	0.750154	1
TCEB3	6	6	0.019217	0.0265949	0.0242105	0.0266613	0.0235279	0.0420775	0.0912534	0.5584	0.726833	1
STRADA	3	3	0.0207462	0.245363	0.368826	0.66604	0.604888	0.768997	0.818957	0.940615	0.778787	1
CASP8	5	4	0.00615375	0.0418947	0.0919737	0.124924	0.11631	0.178264	0.574639	0.887354	0.827041	1
PPP3CB	2	2	0.0203102	0.0543024	0.105502	0.141068	0.317046	0.624374	0.84701	0.891868	0.795789	1
RPS11	1	1	0.0665345	0.15188	0.169127	1.82373	1.2998	1.13239	1.66813	0.718906	0.782109	1
WDR89	4	3	0.0939335	0.247118	1.33203	4.00778	4.03345	4.45235	3.44302	2.27474	1.09546	1
G6PD	23	8	0.0240739	0.0582688	0.0773455	0.265041	0.543783	0.862636	1.0764	1.07134	0.827881	1
TONSL	5	4	0.0199787	0.0276991	0.0571459	0.0608366	0.0672925	0.116727	0.144387	0.15104	0.57548	1
FAHD2A	13	7	0.358821	0.490388	0.591119	0.945673	0.82569	1.00039	1.05602	1.0166	0.95736	1
LSM8	5	2	0.352193	0.567722	0.58729	0.750412	0.724768	0.918443	0.995559	0.970496	0.866803	1
NAE1	18	11	0.0358817	0.0554551	0.0654385	0.0857877	0.119448	0.504221	0.886592	0.956347	0.812186	1
DCTN2	23	9	0.0207509	0.025372	0.0296076	0.0578003	0.0872064	0.357923	0.934659	1.0115	0.83013	1
AP3B1	50	22	0.0226288	0.0328255	0.0387204	0.0456262	0.0614369	0.366075	0.892049	0.944146	0.753309	1
PHACTR2	1	1	0.293731	0.482497	0.432538	0.665785	0.582969	0.669248	0.857049	0.838176	0.899682	1
GSN	4	2	0.0267161	0.0507741	0.0696566	0.290617	0.615457	0.928956	1.06073	1.06018	0.804201	1
IFITM2|IFITM3|IFITM1	8	1	0.147076	0.190249	0.0909154	0.194882	0.468059	0.677416	0.799072	0.751605	0.880353	1
BBS12	1	1	0.0219594	0	0.0194119	0.0797513	0.0555783	2.31297	0.970264	0.474507	0.00717364	1
LIN54	1	1	0.0221398	0.011549	0.0263008	0.0448228	0.0705085	0.193392	0.444724	0.75856	0.77794	1
COPB2	27	14	0.0365405	0.0637994	0.097849	0.141413	0.289204	0.729872	1.04193	1.0092	0.815763	1
MAGEC1	5	2	0.00924183	0.0274587	0.0461269	0.0685049	0.0914229	0.136339	0.257282	0.464383	0.503201	1
ACTN2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRPS2	5	2	0.0917899	0.216302	0.569436	1.00687	0.970148	1.11762	1.11225	1.04289	0.805951	1
WDR4	16	9	0.0549856	0.0751202	0.0947744	0.405232	0.598304	0.774234	0.949028	0.999176	0.811451	1
SMAP2	6	5	0.0188807	0.0455299	0.0539932	0.066536	0.0841662	0.170271	0.513016	0.848783	0.768601	1
UTP15	6	4	0.147179	0.280266	0.541201	2.45339	4.35908	5.00756	2.99352	1.2942	0.954422	1
DNPH1	5	4	0.24136	0.578781	0.561103	0.648856	0.556255	0.719642	0.864227	0.970855	0.832985	1
XPOT	47	18	0.0269513	0.0423316	0.0574225	0.0944136	0.0955216	0.313145	0.911355	1.06152	0.823136	1
CAPG	13	4	0.0225737	0.0348881	0.0414023	0.0515353	0.0764301	0.432615	0.937124	1.0464	0.870843	1
DPH2	2	2	0.0330146	0.0789358	0.1258	0.263951	0.458686	0.703068	0.839078	0.958879	0.777698	1
CARM1	18	12	0.0304637	0.0358231	0.385951	0.70092	0.677676	0.919679	1.10963	1.08544	0.798227	1
MLH1	6	4	0.0191358	0.0203629	0.0386625	0.0494375	0.0530712	0.077372	0.16364	0.395805	0.702175	1
CRLF3	6	2	0.0232616	0.0948695	0.0543758	0.0693256	0.059842	0.144191	0.6488	0.988377	0.83064	1
IGF2BP1	9	5	0.0258814	0.0481642	0.0461561	0.045474	0.0613647	0.118435	0.763538	0.898057	0.824385	1
NUDT12	4	2	0.00895465	0.023751	0.0280744	0.0281857	0.214138	0.828805	1.12503	1.04713	0.828787	1
WDR91	1	1	0.129029	0.126323	0.185003	0.145823	0.143954	0.256842	0.592896	1.00617	0.83108	1
TRIB3	1	1	0.205014	0.198825	0	0.159184	0.18338	0.0786734	0.411173	0.478415	0.705371	1
RCL1	2	1	0.0062904	0.0405967	0.0873847	0.122634	0.151036	0.493397	1.27957	1.18754	0.711073	1
UGGT1	18	11	0.0358562	0.0629388	0.071761	0.111117	0.291487	0.523552	0.922836	0.929912	0.831298	1
CSTA	3	2	0.639882	1.02489	0.657168	1.08285	0.972675	0.981459	1.02641	1.06878	1.1513	1
ACAP2	25	11	0.0252469	0.0375144	0.0433766	0.0625448	0.0810387	0.30209	0.8236	0.997093	0.78001	1
RAB40C|RAB40AL|RAB40B|RAB40A	1	1	0.0279124	0.0478735	0.0829122	0.205604	0.419642	0.690677	0.899856	0.867453	0.708266	1
CALCOCO1	4	3	0.017198	0.0282628	0.0202417	0.0414634	0.07537	0.176988	0.718561	0.919894	0.799417	1
STAT5A	10	5	0.013849	0.0278486	0.0709484	0.0613257	0.0778486	0.134733	0.487918	0.76794	0.746267	1
STAT1	25	14	0.016146	0.0320583	0.0405462	0.0509048	0.061319	0.0937181	0.161124	0.691317	0.761506	1
STAT6	5	4	0.0194143	0.0531702	0.0617087	0.0602309	0.0749145	0.178393	0.555427	0.862655	0.791613	1
FHL3	18	8	0.396891	0.505527	0.489593	0.646791	0.63161	0.887831	1.03581	1.06399	0.841013	1
VCPIP1	5	4	0.0157366	0.0239707	0.0348803	0.0541261	0.0540222	0.0967496	0.144672	0.340155	0.702842	1
NDUFV2	3	2	0.115045	0.262609	0.505396	1.22534	3.03235	1.99704	1.124	1.03283	1.03327	1
ORC4|ORC4L	2	1	0	0.0966745	0.0827408	0.0915013	0.0465786	0.113182	0.321965	0.813537	0.771466	1
DIEXF	2	1	0.0133705	0.050026	0.0497151	0.0630991	0.0565429	0.0539241	0.336221	1.19484	0.883822	1
METTL13	7	5	0.00852042	0.0582451	0.0591593	0.0869513	0.0888529	0.112268	0.512283	0.839319	0.807754	1
DSCR3	1	1	0.00314144	0.033154	0.0860099	0.0999199	0.151928	0.395237	0.668057	0.726106	0.555726	1
GAK	4	3	0.00872005	0.0350199	0.053894	0.0994949	0.114896	0.202567	0.361473	0.607682	0.72077	1
PPP1R12A	17	13	0.0201569	0.0346101	0.0340758	0.0388489	0.0670468	0.240738	0.846129	0.990739	0.803888	1
HNRNPDL	3	3	0.478828	0.546129	0.570422	0.667461	0.928299	1.50013	1.48062	0.955153	0.939649	1
PITHD1	14	6	0.705458	1.14994	0.969059	1.16983	0.962527	1.02323	1.04707	1.08683	1.29778	1
TAF12	1	1	0.0121461	0.0488255	0.0493579	0.0777617	0.108941	0.241082	0.509389	0.768428	0.716645	1
POLI	1	1	0	0	0.103247	0.0889294	0.0947705	0.0987466	0.0978019	0.246056	0.472999	1
LRBA	39	25	0.0258493	0.0515612	0.0572922	0.0732859	0.179355	0.556244	1.09966	1.01927	0.768718	1
XAB2	3	3	0.00718784	0.0144815	0.0393635	0.0225093	0.0239622	0.0250156	0.0901891	0.226464	0.739188	1
SPATA22|EPS15L1	5	5	0.0208883	0.0381193	0.0579413	0.0617752	0.204059	0.476382	0.728595	0.843458	0.8128	1
MRPL46	2	2	0.00208635	0.0595562	0.0391366	0.078832	0.17405	0.665669	1.419	1.13814	1.04994	1
TBCEL	1	1	0.0503619	0.0386321	0.0519157	0.0775184	0.0985757	0.0960232	0.358364	0.708563	0.74897	1
LYPLAL1	6	3	0.0331032	0.0394466	0.0455955	0.100685	0.442435	0.741648	0.87843	0.946175	0.830365	1
CPQ	2	2	0.712153	0.890435	0.729051	0.887496	0.81804	0.929102	1.06793	1.08457	0.85123	1
ADI1	4	3	0.0138961	0.0258821	0.0506679	0.0764695	0.120902	0.317432	0.610388	0.79986	0.752451	1
TRAPPC10	2	2	0.0374591	0.0511566	0.0421736	0.112562	0.289391	0.645068	0.960161	0.998917	0.78952	1
VPS51	9	7	0.0296308	0.0380009	0.0474466	0.0541821	0.0815322	0.175585	0.66167	0.869868	0.7374	1
PRKX	2	1	0	0.00611894	0	0.0123759	0.0401622	0.085061	0.528622	0.868373	0.793511	1
WDR48	10	8	0.0607323	0.0708183	0.284292	0.487274	0.493972	0.647812	0.808546	0.900871	0.770683	1
NHLRC3	1	1	0.641956	0.788668	0.668274	0.715079	0.738921	0.987218	1.22506	1.59267	0.996067	1
SYF2	1	1	0.790402	0.77344	0.688106	1.02038	0.527719	0.526895	0.734788	0.928026	0.841027	1
CMAS	6	6	0.0100025	0.0359716	0.0289102	0.024976	0.0630267	0.383333	0.85199	0.969774	0.86547	1
GNB4	1	1	0.0321243	0.0394862	0.0293174	0.133351	0.361348	0.813212	0.952187	0.790961	0.883887	1
GRPEL1	17	5	0.0182533	0.0251781	0.030879	0.0376804	0.402995	0.990695	1.21859	1.07314	1.03386	1
XPO5	54	21	0.0250595	0.0484467	0.0660987	0.0712521	0.0883968	0.251858	0.926002	0.986391	0.831329	1
BECN1	4	3	0.0169583	0.0248697	0.0683967	0.0706881	0.362292	0.622468	0.797523	0.821978	0.667333	1
FAM96A	6	2	0.0406106	0.175002	0.334233	0.50208	0.512922	0.698759	0.885467	0.978049	0.855394	1
DIP2A	2	1	0.012746	0.0468116	0.0413309	0.0421075	0.117658	0.546659	0.978136	0.938494	0.812465	1
HEATR1	1	1	0	0.178009	0	0.0961915	0.118635	0.373146	0.33587	0.553014	0.744716	1
GCFC2	1	1	0.0414724	0.0573886	0.0844952	0.0476218	0.0568766	0.0855773	0.178524	0.914598	0.852059	1
DRG1	18	7	0.015187	0.0250566	0.0759444	0.295978	0.510619	0.82009	0.993629	1.01574	0.803256	1
HK1	38	17	0.0261794	0.0415552	0.0539671	0.0872557	0.15141	0.432391	0.817604	0.977749	0.79177	1
HYPK	13	5	0.333001	0.485376	0.413805	0.628451	0.654118	0.815963	0.911264	0.967203	0.910154	1
TRIM44	2	1	0.25882	0.285363	0.303687	0.409855	0.473663	0.75966	0.893688	0.927735	0.778525	1
RSPRY1	1	1	0.166695	0.190669	0.310126	0.494834	0.682604	0.962211	0.809866	0.929732	0.721379	1
PPOX	3	2	0.173515	0.135577	0.146021	0.140724	0.260717	0.76539	1.01033	0.903491	1.27331	1
GMPR2	19	10	0.678665	0.747539	0.593317	0.822637	0.824818	0.916356	1.0207	1.00848	0.787001	1
ELMO2	1	1	0.137013	0.19028	0.227051	0.315153	0.274042	0.400258	0.90836	1.11366	0.824835	1
EHMT2	4	4	0.0630136	0.11027	0.101226	0.142318	0.163898	0.288027	0.483581	0.673925	0.64576	1
TGFBR3	1	1	0.0741209	0.179431	0.189943	0.560123	0.644867	0.751085	1.02948	0.867006	0.792819	1
KMT2A	1	1	0.102457	0.112846	0.238934	0.285691	0.44249	0.489578	0.703984	1.02484	1.05591	1
MTHFD2	5	4	0.0492634	0.0510877	0.0705013	0.42886	0.850825	1.22127	1.21501	1.02098	1.08222	1
TNFAIP2	4	3	0.0129659	0.027947	0.0372997	0.0644138	0.0612736	0.0774201	0.236843	0.676878	0.725605	1
NPEPPS	39	17	0.023233	0.0422485	0.0516885	0.109632	0.353897	0.736554	0.98196	1.01165	0.832838	1
DAP3	1	1	0	0.0459923	0.04277	0.0517403	0.111146	0.388816	1.10289	0.977802	1.09777	1
PDIA4	33	20	0.0799519	0.108944	0.0855114	0.122656	0.156442	0.272215	0.66623	0.949715	0.772029	1
PLCD1	1	1	0.0295231	0.031495	0.0391348	0.0316319	0.0495151	0.271744	0.836994	0.950256	0.791863	1
PANK1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPAG5	4	4	0.0210004	0.0463678	0.0393644	0.0566404	0.0778904	0.0704115	0.231051	0.617398	0.715547	1
CHTF18	4	3	0.0151708	0.034645	0.0482033	0.0594537	0.0737617	0.139471	0.176972	0.409876	0.673656	1
UROS	1	1	0.007323	0.0486552	0.0624449	0.0442323	0.11893	0.467104	0.924375	1.08848	0.922116	1
SLC19A1	1	1	0.0758283	0.0701783	0.102343	0.212556	0.347823	0.727315	0.993859	0.736546	0.871784	1
GRHPR	9	6	0.0265	0.0480147	0.0723846	0.255574	0.634274	0.925426	1.04972	0.996649	0.881932	1
EIF3K	2	1	0.10679	0.156637	0.122674	0.338963	0.586617	0.825119	0.870171	0.877682	0.925463	1
GGT3P|GGT2|GGT1	1	1	0.190691	0.402758	0.175302	0.325899	0.546417	0.67346	0.771064	0.769305	0.573347	1
MAPK3	5	4	0.0444895	0.0631525	0.0625194	0.0851378	0.168512	0.528023	0.84828	0.972041	0.823576	1
TRMT10A	4	3	0.0401491	0.0614827	0.0658057	0.0893101	0.433528	0.757647	1.01101	1.00688	0.844647	1
TXNL1	8	4	0.0367876	0.0506347	0.0572399	0.0832973	0.117742	0.362448	0.979362	1.06928	0.858351	1
PLBD2	7	4	0.148086	0.318361	0.54045	0.751284	0.746484	0.84557	1.03093	1.00423	0.845278	1
SMYD3	4	3	0.0107475	0.027529	0.0133387	0.0220354	0.0280077	0.061305	0.33888	0.871301	0.801176	1
THG1L	4	1	0.00769304	0.04042	0.243088	0.568654	0.68866	1.01195	1.15106	1.07424	0.916757	1
DHX30	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MACC1	4	3	0.00543795	0.0476811	0.0943298	0.072584	0.189775	0.618095	0.879067	0.68007	0.73855	1
SLC25A6	1	1	2.79344	3.03928	0.950632	1.19562	1.16368	1.41247	0.956489	0.583328	0.752912	1
NIT2	3	1	0.0382684	0.0613861	0.135535	0.392033	0.624658	0.854037	0.944443	0.936257	0.831966	1
PGPEP1	6	2	0.0178405	0.0229059	0.0395364	0.0483026	0.0506968	0.119288	0.440283	0.828164	0.8089	1
DPY30	3	1	0.0937269	0.181271	0.280229	0.415456	0.33422	0.48191	1.03877	1.04159	0.746445	1
LDHD	1	1	0	0	0.477405	0.531691	0.401455	0.686216	0.953817	1.04034	3.34206	1
SMARCE1	4	3	0.0962122	0.128252	0.0860409	0.0964789	0.0725696	0.0826695	0.3386	0.810052	0.774598	1
ACN9	2	2	0	0.0125235	0.0590501	0.11464	0.335388	0.545289	0.917929	1.03603	0.993003	1
CPSF2	8	6	0.0257498	0.03894	0.0446246	0.0721624	0.111554	0.258599	0.381609	0.713991	0.731714	1
GLCCI1	1	1	0	0.102962	0.0391897	0.538113	0.283776	0.770445	0.614038	0.794964	0.533691	1
XPO6	11	9	0.0253522	0.0431261	0.0533172	0.074918	0.101821	0.221504	0.745983	0.974748	0.778843	1
ATN1	4	2	0.268439	0.363288	0.230263	0.385127	0.410243	0.555712	0.784429	0.819225	0.769731	1
ITGB1	7	4	0.113555	0.212289	0.163602	0.286922	0.453523	0.809095	0.95952	0.666132	0.739401	1
CS	25	8	0.0418418	0.0537791	0.0702982	0.170999	0.43263	0.74527	1.0548	0.995503	1.05344	1
YKT6	13	6	0.0324408	0.123876	0.311768	0.842503	0.949532	0.948718	0.973973	1.13974	0.906126	1
TSNAX	33	11	0.137504	0.453561	0.486048	0.70948	0.670087	0.813041	0.966494	1.00164	0.803165	1
OGDH	10	8	0.0490731	0.0627121	0.0965206	0.166357	0.354462	0.899564	1.37445	1.04335	1.16135	1
SCAF11	3	2	0.101482	0.136659	0.194387	0.328655	0.321358	0.565734	0.761287	0.873689	0.828855	1
ISG15	2	2	0.0299107	0.0384633	0.104071	0.174595	0.245429	0.395425	0.798603	1.04774	0.776333	1
GLUL	9	4	0.0188817	0.0368936	0.0967307	0.304077	0.57495	0.843791	0.989085	0.984172	0.787102	1
APAF1	8	8	0.0590155	0.0713645	0.0485217	0.0680064	0.0750484	0.134057	0.667501	0.861995	0.803122	1
AARSD1	8	4	0.0239752	0.0262112	0.0395725	0.0473466	0.0698092	0.337671	0.883354	1.03947	0.799711	1
AKR1C1	2	1	0.0277537	0.0274166	0.0322813	0.0330287	0.037473	0.00873125	0.0941735	0.757377	0.798268	1
WDR43	9	7	0.0452678	0.141097	0.61783	2.23564	4.02264	5.1541	3.24538	1.51959	0.830258	1
ACOX1	6	4	0.617108	0.878134	0.707003	1.12869	0.935032	1.02735	0.782144	0.809996	0.782175	1
VCX3B|VCX3A|VCX|VCX2	3	2	0.570282	0.663935	0.686604	0.688451	0.712194	0.972216	1.045	1.45006	0.80208	1
ZWINT	3	2	0.0367388	0.0373638	0.0501487	0.0775513	0.0949391	0.1825	0.370101	0.611985	0.635464	1
GPKOW	20	12	0.0173785	0.0284725	0.0337548	0.0439423	0.0595772	0.123969	0.572419	0.913959	0.792294	1
HNRNPA3	3	3	0.0674026	0.124484	0.0551136	0.0705282	0.128017	0.39315	0.722959	0.824183	0.766885	1
DSP	1	1	0.435539	0.470188	0.375022	0.509896	0.554737	0.688844	0.348605	0.835561	1.33097	1
TBC1D15	5	2	0.0507004	0.055193	0.0559696	0.0823776	0.0773095	0.174397	0.72083	1.00521	0.76782	1
DHX15	40	17	0.0413328	0.0735756	0.157614	0.516767	0.701211	0.996774	1.04273	1.01747	0.814001	1
ZNF77	1	1	0.00891996	0.0109104	0.00416906	0.0435442	0.063459	0.0876343	0.194761	0.611301	0.703853	1
UBAC1	25	15	0.0435178	0.0624401	0.0710845	0.0955602	0.161342	0.380983	0.743459	0.930826	0.789001	1
CTIF	1	1	0	0	0.0731602	0.122693	0.477951	0.632396	1.02713	1.06561	0.977886	1
